tkr,sig_date,entry_date,entry,trig,stop0,risk_pct,half_date,half_px,exit_date,exit_px,reason,held,R,gap_through,net_pnl,stt_paid
NAVINFLUOR,2020-04-03,2020-04-07,1288.7,1255.13,1165.03,2.0,2020-04-27,1536.028131082598,2020-05-12,1390.33,trail,22,1.411,False,22879.5,381.93
IPCALAB,2020-03-31,2020-04-03,694.92,694.92,644.14,2.0,2020-04-08,796.5025762138079,2020-05-29,742.3,trail,35,1.466,False,24593.75,501.31
ABBOTINDIA,2020-03-26,2020-03-30,15487.62,13578.23,13015.65,2.0,,,2020-06-11,14955.46,ma_breach,47,-0.215,False,-4648.91,221.58
DIVISLAB,2020-04-07,2020-04-08,2085.58,2085.58,1861.82,2.0,,,2020-06-18,2236.81,ma_breach,47,0.676,False,11529.27,347.4
INDIACEM,2020-05-15,2020-05-18,117.11,117.11,98.78,2.0,,,2020-07-13,119.82,ma_breach,39,0.148,False,1944.75,244.88
TRIDENT,2020-06-10,2020-06-11,6.67,6.35,5.67,2.0,,,2020-07-16,5.67,stop,25,-1.0,False,-20988.58,247.28
GMMPFAUDLR,2020-04-20,2020-04-23,1270.27,1166.73,1061.3,2.0,,,2020-07-20,1306.7,ma_breach,60,0.174,False,2459.06,231.26
ALKYLAMINE,2020-04-22,2020-04-27,678.46,678.46,554.79,2.0,2020-07-09,925.7985899429601,2020-07-27,882.21,time,63,1.824,False,33752.78,242.78
ZYDUSLIFE,2020-04-03,2020-04-07,291.32,269.57,248.88,2.0,,,2020-07-30,348.66,ma_breach,78,1.351,False,22719.92,258.79
BPCL,2020-07-17,2020-07-20,151.32,151.32,132.45,2.0,,,2020-08-04,132.45,stop,11,-1.0,False,-20881.21,305.74
NAUKRI,2020-05-27,2020-06-01,530.08,478.2,457.09,2.0,2020-08-10,676.0623456779233,2020-08-27,642.21,time,63,1.768,False,33737.2,316.13
ITI,2020-06-17,2020-06-18,101.0,92.8,82.32,2.0,2020-07-07,138.36479695129395,2020-08-31,131.87,trail,52,1.826,False,35379.52,250.93
BHARATRAS,2020-07-06,2020-07-09,2223.17,1928.41,1891.55,2.0,2020-08-11,2886.4137041852096,2020-08-31,2356.76,trail,37,1.201,False,22972.7,298.59
ADVENZYMES,2020-07-28,2020-07-31,175.2,164.78,149.71,2.0,2020-08-17,226.16080925393976,2020-08-31,199.31,trail,21,1.473,False,28572.37,312.36
AJANTPHARM,2020-07-30,2020-08-04,1042.12,963.21,910.31,2.0,,,2020-09-01,910.31,stop,20,-1.0,False,-22786.74,320.91
ESSELPACK,2020-07-08,2020-07-13,177.65,166.3,158.79,2.0,2020-07-31,215.3642856067652,2020-09-08,234.7,trail,41,2.513,False,49055.35,440.49
MASFIN,2020-08-26,2020-08-31,288.9,271.06,256.14,2.0,,,2020-09-22,256.14,stop,16,-1.0,False,-25066.3,380.26
DIVISLAB,2020-08-07,2020-08-11,3045.87,2735.5,2638.19,2.0,,,2020-10-05,2987.71,ma_breach,38,-0.143,False,-3820.38,334.0
TIMKEN,2020-08-24,2020-08-27,1122.57,1052.17,962.55,2.0,,,2020-10-12,1041.61,ma_breach,31,-0.506,False,-13595.87,311.06
FDC,2020-09-22,2020-09-23,337.15,336.17,302.64,2.0,,,2020-11-05,318.09,ma_breach,30,-0.552,False,-13555.6,416.04
GRANULES,2020-08-31,2020-09-01,312.88,312.88,276.68,2.0,2020-09-25,385.2841711976599,2020-11-09,359.72,trail,48,1.647,False,35010.59,410.94
ASTRAZEN,2020-09-04,2020-09-08,4627.75,3877.73,3594.2,2.0,,,2020-11-11,4169.5,ma_breach,45,-0.443,False,-10856.79,195.3
SUPREMEIND,2020-07-27,2020-07-30,1198.43,1117.58,1087.71,2.0,,,2020-11-17,1330.65,ma_breach,77,1.194,False,23101.15,473.59
INDIGO,2020-11-09,2020-11-11,1609.33,1494.97,1428.15,2.0,,,2020-12-22,1428.15,stop,28,-1.0,True,-22899.01,372.66
ALLCARGO,2020-12-09,2020-12-11,36.0,30.85,30.05,2.0,,,2020-12-22,30.05,stop,7,-1.0,False,-25698.05,269.68
ADVENZYMES,2020-09-23,2020-09-25,277.38,222.5,210.97,2.0,,,2020-12-24,311.28,ma_breach,62,0.511,False,10216.66,188.87
CROMPTON,2020-09-29,2020-10-05,277.95,270.38,245.38,2.0,2020-12-16,343.0833323433927,2021-01-04,359.48,time,63,2.252,False,49233.55,435.52
JSL,2020-10-12,2020-10-15,53.98,51.13,44.35,2.0,2020-12-28,73.2469064207298,2021-01-14,88.2,time,63,2.776,False,60007.21,310.58
NAVINFLUOR,2020-11-03,2020-11-05,2389.18,2296.81,2134.09,2.0,,,2021-01-18,2449.13,ma_breach,50,0.235,False,3729.98,419.57
CHAMBLFERT,2020-11-12,2020-11-17,165.72,154.63,147.64,2.0,2020-12-10,201.8839817863106,2021-01-18,197.54,trail,42,1.88,False,40562.98,453.22
TASTYBITE,2020-12-18,2020-12-22,12291.37,11392.0,11048.27,2.0,,,2021-02-01,11771.93,ma_breach,27,-0.418,False,-12648.96,453.59
ECLERX,2020-12-22,2020-12-24,296.05,257.41,238.63,2.0,,,2021-02-26,307.02,ma_breach,44,0.191,False,3610.54,245.58
CEATLTD,2021-01-14,2021-01-18,1201.97,1172.21,1128.11,2.0,2021-01-21,1349.6907346786923,2021-03-17,1457.85,trail,40,2.732,False,63486.2,858.57
QUESS,2021-01-27,2021-02-01,518.84,518.18,462.61,2.0,2021-02-05,631.3132196063707,2021-03-17,607.53,trail,31,1.789,False,42272.14,498.13
UFLEX,2021-03-12,2021-03-17,427.56,412.9,392.96,2.0,,,2021-03-18,392.96,stop,1,-1.0,False,-32390.94,709.26
JKTYRE,2021-01-19,2021-01-21,111.28,87.45,84.09,2.0,,,2021-03-19,104.48,ma_breach,39,-0.25,False,-6792.96,193.98
INDIANB,2021-02-02,2021-02-05,102.44,89.81,80.7,2.0,,,2021-03-22,102.31,ma_breach,30,-0.006,False,-1029.99,249.56
POLYMED,2020-12-21,2020-12-23,513.02,513.02,444.18,2.0,2021-02-17,650.6846845170702,2021-03-25,811.96,time,63,3.171,False,72213.67,420.0
NIACL,2021-01-18,2021-01-21,136.67,127.4,120.13,2.0,2021-02-19,169.7483230476976,2021-03-25,148.13,trail,43,1.346,False,31386.31,436.92
TRIDENT,2020-12-31,2021-01-05,12.53,9.17,8.8,2.0,,,2021-03-30,12.71,ma_breach,57,0.049,False,597.58,161.76
BANKINDIA,2021-02-16,2021-02-19,81.63,60.1,52.98,2.0,,,2021-04-05,59.33,ma_breach,28,-0.778,False,-22592.39,141.19
ADANIGREEN,2021-03-19,2021-03-22,1252.2,1192.6,1080.02,2.0,,,2021-04-13,1080.02,stop,14,-1.0,False,-28307.7,374.31
RCF,2021-02-23,2021-02-26,63.85,48.47,47.08,2.0,,,2021-04-22,62.74,ma_breach,34,-0.066,False,-2694.26,219.38
IOB,2021-02-16,2021-02-19,20.15,13.1,11.89,2.0,,,2021-04-23,15.9,ma_breach,40,-0.514,False,-15202.19,125.23
REDINGTON,2021-03-25,2021-03-31,78.48,75.56,63.01,2.0,,,2021-04-27,75.54,ma_breach,16,-0.19,False,-6388.6,283.01
FSL,2020-12-22,2020-12-28,81.43,66.52,57.92,2.0,2021-05-21,128.44662474615242,2021-05-21,124.67,time,97,1.92,False,44554.0,208.69
ATGL,2021-02-12,2021-02-17,520.14,382.77,377.25,2.0,2021-03-22,805.9224294257011,2021-05-25,1292.26,time,63,3.702,False,99826.51,299.26
BIRLACORPN,2021-03-22,2021-03-25,847.07,812.06,763.33,2.0,2021-05-12,1014.550433046118,2021-06-18,1123.65,trail,56,2.651,False,72958.24,649.25
ELGIEQUIP,2021-04-19,2021-04-23,226.48,226.48,184.87,2.0,,,2021-06-21,207.12,ma_breach,40,-0.465,False,-14583.71,291.9
MINDTREE,2021-03-15,2021-03-18,2018.0,1942.0,1851.9,2.0,2021-05-28,2350.2075,2021-06-22,2480.65,time,63,2.393,False,66322.99,755.01
TVTODAY,2021-05-20,2021-05-25,259.75,240.61,206.62,2.0,,,2021-06-28,217.23,ma_breach,24,-0.8,False,-26261.77,278.04
FLUOROCHEM,2021-04-09,2021-04-13,716.19,712.2,617.06,2.0,2021-06-01,914.4477714605641,2021-06-29,1021.29,trail,52,2.539,False,69499.11,476.18
GMDCLTD,2021-05-07,2021-05-12,72.63,61.48,53.82,2.0,,,2021-07-02,61.43,ma_breach,36,-0.595,False,-18712.66,214.95
VGUARD,2021-05-26,2021-05-31,278.9,247.1,235.22,2.0,,,2021-07-22,249.45,ma_breach,37,-0.674,False,-22142.96,373.71
PNBHOUSING,2021-05-28,2021-06-01,519.76,365.87,353.7,2.0,,,2021-07-28,564.72,ma_breach,40,0.271,False,7726.49,203.6
DIXON,2021-06-17,2021-06-22,4619.78,4325.57,4111.91,2.0,,,2021-08-03,4360.35,ma_breach,29,-0.511,False,-17485.96,569.76
TCIEXP,2021-05-18,2021-05-21,1221.13,1096.35,908.29,2.0,,,2021-08-09,1429.84,ma_breach,55,0.667,False,19653.84,261.25
FACT,2021-06-15,2021-06-18,143.73,128.18,124.61,2.0,,,2021-08-09,134.41,ma_breach,35,-0.488,False,-17526.57,473.61
ASHOKLEY,2021-07-29,2021-08-03,60.59,56.41,54.78,2.0,,,2021-08-20,54.78,stop,12,-1.0,False,-33354.57,639.67
DCMSHRIRAM,2021-06-24,2021-06-29,843.1,811.27,764.52,2.0,2021-07-19,1000.2766904076209,2021-08-23,866.19,trail,37,1.147,False,33799.47,715.5
EQUITAS,2021-07-07,2021-07-12,134.7,112.8,93.66,2.0,,,2021-08-31,116.75,ma_breach,34,-0.437,False,-14453.89,193.01
ORIENTREF,2021-04-22,2021-04-27,306.7,305.23,255.93,2.0,,,2021-09-29,344.65,ma_breach,107,0.747,False,19587.93,357.68
ASTERDM,2021-08-17,2021-08-23,148.78,139.68,121.21,2.0,,,2021-10-20,150.14,ma_breach,40,0.049,False,344.5,328.81
SONATSOFTW,2021-08-04,2021-08-09,293.02,279.85,268.12,2.0,2021-10-19,342.8079001474374,2021-10-21,301.63,trail,50,1.173,False,34754.7,790.5
KAJARIACER,2021-08-16,2021-08-20,1071.6,1023.93,975.09,2.0,2021-10-14,1264.6150547042546,2021-10-22,1144.87,trail,43,1.38,False,40654.32,739.31
SCHAEFFLER,2021-07-22,2021-07-26,1295.78,1157.46,1062.12,2.0,,,2021-10-28,1399.52,ma_breach,65,0.444,False,12964.09,370.52
EQUITAS,2021-10-20,2021-10-22,133.5,128.8,123.38,2.0,,,2021-11-15,123.38,stop,15,-1.0,False,-36306.43,846.11
CERA,2021-09-24,2021-09-29,5205.21,4915.38,4459.37,2.0,,,2021-11-25,4857.21,ma_breach,38,-0.467,False,-16671.48,437.75
CYIENT,2021-07-14,2021-07-19,945.55,795.98,771.46,2.0,,,2021-12-01,924.64,ma_breach,91,-0.12,False,-5167.24,352.0
TTKPRESTIG,2021-10-13,2021-10-19,1009.53,875.66,854.04,2.0,,,2021-12-01,970.8,ma_breach,29,-0.249,False,-10297.23,446.54
NETWORK18,2021-10-12,2021-10-18,80.0,73.25,60.79,2.0,,,2021-12-02,71.35,ma_breach,31,-0.45,False,-16334.84,269.32
CRISIL,2021-11-11,2021-11-15,3030.66,3021.29,2740.4,2.0,,,2021-12-06,2740.4,stop,14,-1.0,False,-36117.6,671.39
SCI,2021-11-26,2021-12-01,142.29,142.29,132.34,2.0,,,2021-12-17,132.34,stop,12,-1.0,False,-34959.16,880.41
ADANIENSOL,2021-12-01,2021-12-06,1875.25,1875.25,1707.84,2.0,,,2021-12-20,1707.84,stop,10,-1.0,True,-34598.49,688.91
BORORENEW,2021-10-11,2021-10-14,452.8,356.45,329.77,2.0,2021-12-16,698.860151184082,2021-12-28,593.99,trail,50,1.574,False,51573.25,298.72
GRINDWELL,2021-10-25,2021-10-28,1528.7,1504.42,1346.07,2.0,2022-01-03,1893.949370456358,2022-01-24,1780.46,trail,60,1.689,False,53472.47,606.57
ELGIEQUIP,2021-11-23,2021-11-25,257.56,230.82,205.05,2.0,2022-01-10,362.57205709056853,2022-01-24,322.37,trail,42,1.617,False,52634.44,381.38
INFY,2021-12-14,2021-12-17,1599.22,1549.13,1501.37,2.0,,,2022-01-25,1501.37,stop,27,-1.0,False,-34579.35,1036.58
SUZLON,2021-12-24,2021-12-29,8.54,7.44,6.83,2.0,2022-01-18,11.950459456443786,2022-02-08,10.01,trail,28,1.43,False,43535.17,358.44
BCG,2022-01-06,2022-01-11,111.77,96.59,87.34,2.0,,,2022-02-09,99.09,ma_breach,20,-0.519,False,-18874.72,296.69
ASAHIINDIA,2021-12-20,2021-12-21,479.22,474.33,435.35,2.0,2022-01-11,566.9526794260131,2022-02-11,529.36,trail,37,1.572,False,46103.86,724.89
POWERINDIA,2022-01-20,2022-01-25,2908.15,2908.15,2742.97,2.0,2022-01-27,3238.497470467948,2022-02-11,2884.87,trail,12,0.93,False,25506.77,1173.73
LINDEINDIA,2022-01-20,2022-01-24,2820.81,2615.93,2548.55,2.0,,,2022-02-14,2548.55,stop,14,-1.0,True,-36561.8,674.49
RENUKA,2022-02-09,2022-02-14,38.05,38.05,33.72,2.0,,,2022-02-21,33.72,stop,5,-1.0,False,-34857.18,545.61
DCMSHRIRAM,2022-01-25,2022-01-27,1053.88,1006.99,949.07,2.0,,,2022-02-22,949.07,stop,18,-1.0,True,-35676.93,639.11
REDINGTON,2022-01-05,2022-01-10,144.25,129.95,126.17,2.0,,,2022-02-24,126.95,ma_breach,32,-0.957,False,-33400.0,496.27
GNFC,2022-02-08,2022-02-11,497.26,482.97,450.51,2.0,,,2022-02-24,450.51,stop,9,-1.0,False,-34875.47,682.02
BSE,2022-02-09,2022-02-11,243.01,243.01,213.62,2.0,,,2022-02-24,213.62,stop,9,-1.0,True,-34588.94,522.84
SCHAEFFLER,2022-02-17,2022-02-22,1776.06,1776.06,1606.02,2.0,,,2022-03-07,1606.02,stop,8,-1.0,False,-32441.12,603.25
NATIONALUM,2022-02-22,2022-02-24,96.7,96.7,90.1,2.0,2022-03-04,109.88816928114312,2022-03-15,95.3,trail,12,0.894,False,25163.27,905.45
OIL,2022-03-02,2022-03-07,138.51,136.02,125.83,2.0,,,2022-03-15,125.83,stop,6,-1.0,True,-33916.46,658.97
POWERINDIA,2022-02-17,2022-02-21,3140.82,2980.38,2818.28,2.0,2022-03-03,3785.896888877592,2022-04-19,3291.55,trail,37,1.234,False,36381.16,648.84
BSE,2022-03-08,2022-03-11,283.88,226.89,219.57,2.0,,,2022-04-28,265.42,ma_breach,31,-0.287,False,-9280.87,262.2
BDL,2022-02-28,2022-03-04,224.34,221.29,199.87,2.0,2022-03-16,273.2718708354974,2022-05-04,335.12,trail,39,3.264,False,103789.94,703.23
MAZDOCK,2022-04-12,2022-04-19,159.85,159.73,138.21,2.0,,,2022-05-05,138.21,stop,11,-1.0,False,-39147.16,514.35
GAEL,2022-03-10,2022-03-15,117.35,111.9,105.9,2.0,2022-04-11,140.23426758864656,2022-05-09,150.2,trail,35,2.436,False,73139.52,712.44
JKPAPER,2022-03-11,2022-03-15,258.24,254.55,219.52,2.0,2022-04-18,335.69848970785966,2022-05-09,309.59,trail,35,1.663,False,50009.27,465.78
ADANIENSOL,2022-02-22,2022-02-24,1990.0,1985.0,1808.29,2.0,2022-03-04,2353.420248779297,2022-05-10,2580.34,trail,48,2.624,False,76060.31,734.89
COALINDIA,2022-02-25,2022-03-03,140.05,121.81,112.35,2.0,,,2022-05-10,134.44,ma_breach,44,-0.203,False,-6861.18,308.34
AMBER,2022-04-28,2022-05-04,3928.0,3671.0,3438.36,2.0,,,2022-05-10,3438.36,stop,4,-1.0,False,-37228.86,532.07
RENUKA,2022-04-07,2022-04-12,58.95,49.5,43.01,2.0,,,2022-05-11,43.01,stop,18,-1.0,False,-37129.17,234.74
GODFRYPHLP,2022-05-09,2022-05-10,373.31,373.31,345.9,2.0,,,2022-05-12,345.9,stop,2,-1.0,False,-36863.73,885.96
LINDEINDIA,2022-03-14,2022-03-16,3256.3,2919.78,2779.08,2.0,,,2022-05-16,3053.89,ma_breach,39,-0.424,False,-13798.02,407.31
KEI,2022-05-17,2022-05-20,1235.78,1228.81,1133.15,2.0,,,2022-05-25,1133.15,stop,3,-1.0,False,-35227.33,752.39
GAEL,2022-05-11,2022-05-16,149.55,146.06,131.08,2.0,,,2022-06-10,147.55,ma_breach,19,-0.109,False,-4374.16,511.63
HOMEFIRST,2022-05-02,2022-05-05,740.01,738.43,666.03,2.0,,,2022-06-16,739.51,ma_breach,30,-0.007,False,-3338.78,690.85
BDL,2022-05-11,2022-05-12,318.94,318.94,296.47,2.0,2022-05-20,363.86966501969414,2022-06-20,366.28,trail,27,2.054,False,63250.23,963.51
COROMANDEL,2022-06-13,2022-06-16,936.93,894.29,861.72,2.0,,,2022-06-20,861.72,stop,2,-1.0,False,-33391.95,765.61
ABB,2022-05-05,2022-05-10,2249.8,2248.82,2044.88,2.0,,,2022-06-21,2146.87,ma_breach,30,-0.502,False,-18263.02,724.4
MRPL,2022-06-21,2022-06-23,84.56,81.33,75.62,2.0,,,2022-07-04,75.62,stop,7,-1.0,False,-32168.01,557.95
JAMNAAUTO,2022-06-30,2022-07-04,119.25,115.77,112.18,2.0,,,2022-08-04,112.18,stop,23,-1.0,False,-36336.33,1066.84
ASAHIINDIA,2022-06-15,2022-06-20,458.32,441.72,425.38,2.0,2022-06-24,524.1936084533454,2022-08-08,542.02,trail,35,2.271,False,66844.02,935.23
PHOENIXLTD,2022-06-17,2022-06-21,548.37,548.37,511.35,2.0,2022-07-07,622.3898085181632,2022-09-21,709.51,time,63,3.177,False,92119.18,987.03
CHOLAFIN,2022-08-01,2022-08-04,758.84,734.54,684.35,2.0,,,2022-09-28,711.82,ma_breach,36,-0.631,False,-22046.23,652.83
HOMEFIRST,2022-08-10,2022-08-16,940.39,817.31,777.04,2.0,,,2022-09-28,847.83,ma_breach,30,-0.567,False,-19825.56,358.75
ASHOKLEY,2022-05-20,2022-05-25,64.25,60.05,57.42,2.0,,,2022-09-30,68.0,ma_breach,89,0.549,False,16951.11,638.37
FEDERALBNK,2022-07-15,2022-07-20,106.36,96.31,92.8,2.0,2022-11-03,133.4890909722689,2022-11-03,134.61,time,71,2.041,False,66579.45,587.32
SOLARINDS,2022-08-03,2022-08-08,3144.3,2790.5,2704.23,2.0,2022-10-03,4024.431380046447,2022-11-11,4131.93,time,63,2.122,False,67440.63,536.08
FLUOROCHEM,2022-09-27,2022-09-30,3901.52,3663.16,3555.88,2.0,,,2022-11-14,3555.88,stop,28,-1.0,False,-34610.52,718.83
RENUKA,2022-09-20,2022-09-21,57.75,57.75,49.5,2.0,,,2022-11-15,56.95,ma_breach,36,-0.097,False,-4296.59,489.66
ASTERDM,2022-09-27,2022-09-28,192.44,192.44,174.66,2.0,,,2022-11-15,174.66,stop,31,-1.0,True,-35817.4,689.97
AIAENG,2022-11-10,2022-11-15,2729.45,2654.43,2576.13,2.0,,,2022-11-16,2576.13,stop,1,-1.0,False,-39190.38,1173.45
ALLCARGO,2022-11-09,2022-11-14,109.46,100.67,98.35,2.0,,,2022-12-08,102.52,ma_breach,18,-0.624,False,-23211.03,640.95
EASEMYTRIP,2022-11-21,2022-11-23,34.91,28.58,25.76,2.0,,,2022-12-09,25.76,stop,12,-1.0,True,-33005.85,216.21
RAYMOND,2022-11-01,2022-11-04,1312.91,1208.06,1170.25,2.0,2022-12-02,1598.2247687462313,2022-12-23,1397.37,trail,34,1.296,False,44682.58,698.37
IDFCFIRSTB,2022-09-30,2022-10-06,53.67,49.84,46.9,2.0,,,2022-12-27,56.02,ma_breach,56,0.346,False,10759.56,550.25
HDFCBANK,2022-11-11,2022-11-16,774.86,774.86,727.27,2.0,,,2023-01-10,757.34,ma_breach,39,-0.368,False,-14167.64,1070.84
GODFRYPHLP,2023-01-06,2023-01-10,671.43,647.1,613.8,2.0,,,2023-01-16,613.8,stop,4,-1.0,False,-35785.64,740.18
KARURVYSYA,2022-12-05,2022-12-08,82.35,81.34,75.56,2.0,,,2023-01-23,85.12,ma_breach,32,0.409,False,12123.17,821.87
BANKINDIA,2022-12-26,2022-12-27,79.37,78.88,66.63,2.0,,,2023-01-27,73.42,ma_breach,22,-0.468,False,-16125.28,395.24
MAHABANK,2023-01-11,2023-01-16,28.19,27.44,25.56,2.0,,,2023-01-27,25.56,stop,8,-1.0,False,-34170.74,673.99
360ONE,2023-01-18,2023-01-23,456.62,437.77,430.8,2.0,,,2023-01-27,430.8,stop,3,-1.0,False,-36602.27,1089.26
AEGISLOG,2022-12-26,2022-12-27,334.27,334.27,308.4,2.0,,,2023-01-30,323.06,ma_breach,23,-0.433,False,-17204.07,837.42
ASHOKLEY,2023-01-23,2023-01-27,67.55,67.18,65.34,2.0,,,2023-01-30,65.34,stop,1,-1.0,False,-33982.41,1848.93
CERA,2023-01-24,2023-01-30,5377.95,5377.95,5262.33,2.0,,,2023-01-31,5262.33,stop,1,-1.0,True,-47207.76,2750.1
SUNDRMFAST,2023-01-25,2023-01-31,973.35,973.35,947.56,2.0,,,2023-02-01,947.56,stop,1,-1.0,False,-37120.17,2071.14
MAXHEALTH,2023-01-27,2023-02-01,461.5,457.72,433.44,2.0,,,2023-02-02,433.44,stop,1,-1.0,False,-29338.69,884.98
AEGISLOG,2023-01-30,2023-01-31,372.44,372.44,320.99,2.0,,,2023-02-20,337.61,ma_breach,14,-0.677,False,-20162.55,383.73
M&M,2023-01-27,2023-02-01,1351.34,1305.78,1252.72,2.0,,,2023-02-24,1252.72,stop,17,-1.0,False,-29064.5,732.65
360ONE,2023-01-30,2023-02-02,446.17,440.95,401.8,2.0,,,2023-02-24,425.36,ma_breach,16,-0.469,False,-14171.16,517.68
AEGISLOG,2023-02-21,2023-02-24,346.44,346.44,334.56,2.0,2023-03-08,370.1953921960286,2023-03-20,344.22,trail,15,0.907,False,18132.49,1536.32
KPITTECH,2023-03-15,2023-03-20,855.3,841.91,768.01,2.0,,,2023-04-03,768.01,stop,9,-1.0,False,-28276.5,508.8
RADICO,2023-01-27,2023-02-01,1126.34,1064.94,1031.09,2.0,,,2023-04-12,1079.9,ma_breach,46,-0.488,False,-15776.44,642.69
3MINDIA,2023-03-28,2023-04-03,22323.88,22090.97,21357.61,2.0,,,2023-04-24,21357.61,stop,12,-1.0,False,-33274.72,1249.95
